OWNER        WALLCLOCK         UTIME         STIME           CPU             MEMORY                 IO                IOW
mep03rc          31203             0             0             9              5.659              0.000              0.000
mep03rfk      54897774      22255809         19425      43630068       74977449.775              0.000              0.000
mep03rv          18128           444            12          1643           2645.533              0.000              0.000
mep03sa          99922           276            62          1277           1897.919              0.000              0.000
mep03sm          33670             0             1          8826          11036.707              0.000              0.000
mep04chc       2671687        345357          4379        776160           6336.834              0.000              0.000
mep04jh          79378            28             3          4691           7815.286              0.000              0.000
mep04nid       2665461           104           105         60196           4068.522              0.000              0.000
mep04sb       67938731      20854937         18892      53540729       92679352.395              0.000              0.000
mep04sbc            24            11             0            12             22.261              0.000              0.000
mep04ss          19742            11            18            31              2.717              0.000              0.000
mep04tjd       1062775        145350           952        291321         365149.185              0.000              0.000
mep05ama       2734663       1153536          7968       1580280         134721.947              0.000              0.000
mep05asm        351770           832          1242          4075           1648.450              0.000              0.000
mep05ea         885460           272           298          9227          14064.980              0.000              0.000
mep05fg         183256         27632          8388        114550         316233.128              0.000              0.000
mep05jk          93153           796            52           953            114.210              0.000              0.000
mep05jsl       6106104       4391540         19739       4412036         645230.123              0.000              0.000
mep05mz           9370            10             1            42             26.021              0.000              0.000
mep05rs             15             0             0             0              0.001              0.000              0.000
mep06ee         283576          7287            59         26195          17445.327              0.000              0.000
mep06jn           8181             1             0           329             44.428              0.000              0.000
mep06jp          25759             0             0          1625             80.878              0.000              0.000
mep06lf         276698           446           122          2993           3512.843              0.000              0.000
mep06mam         22847             6             6           184             54.398              0.000              0.000
mep06ns          12757           145             8          1020            374.091              0.000              0.000
mep06nw         238186         16715           347        108170          21967.969              0.000              0.000
mep06pej         70494          3730           339         19080          18287.489              0.000              0.000
mep06rbj         26375             9             1            24             31.820              0.000              0.000
mep06rm           6228            23             5            40             36.097              0.000              0.000
mep06swn        104626           892           446          2353           2567.870              0.000              0.000
mep06tat        406877           394           237          1656           1477.496              0.000              0.000
mep06tmo         46604            13            14            72             59.941              0.000              0.000
mep06ts        1102421         12415          2818         23930          25258.973              0.000              0.000
mep06web        576953          1010           187          2918           2497.738              0.000              0.000
mpp04cz        1885929        583814        262609       1477181        1244748.534              0.000              0.000
mt1jh            31984          1241            53          1294             71.856              0.000              0.000
mt1nam          602286          9517           329         20768           5315.319              0.000              0.000
mta02pmc       3121066       1715342         14583       2266341         360402.792              0.000              0.000
mta03vg           2832             0             0            15             15.533              0.000              0.000
mta03yz         924424        171353          2276        175223         206575.440              0.000              0.000
mta04ajr        162625           817          1838          4663           5155.000              0.000              0.000
mta04ica         86144           451          1445          4151           4848.702              0.000              0.000
mta04jc         187495           882           715          3186           3245.241              0.000              0.000
mta04js         156870           992            76          1677           2034.117              0.000              0.000
mta04kzc        501954         11176          1402         14548          23442.444              0.000              0.000
mta04lm         104815           328           106          1097           1002.267              0.000              0.000
mta04mh         220149           915          1352          4839           5029.136              0.000              0.000
mta04mt           1655             0             0            19             25.771              0.000              0.000
mta04pas         68131           100            17           263            220.934              0.000              0.000
mta04rm          52545           221            96           501            461.947              0.000              0.000
mtp04ajc      34212272      14471967          4935      18990935         833809.516              0.000              0.000
mtp04mtb       7596650       4001587          7173       4077809        2902880.909              0.000              0.000
mtp04vja         57507          1067           116          1511           1739.240              0.000              0.000
mtp05rmc         70224            25             4           112             62.975              0.000              0.000
mtp05rpc        858175         33392          3631        126953         125114.837              0.000              0.000
mtp05sb        4963007       4045476          8159       4053799         857318.004              0.000              0.000
mtp05sgb        342150          1169           455          1640             33.962              0.000              0.000
mtp06ia           3047             0             0             0              0.000              0.000              0.000
ph1ed               98             1             0             3              1.838              0.000              0.000
ph1gs          1885672           116            45       1357761         199217.875              0.000              0.000
